block,k_clusters,clusterId,accuracy_top1,ig_faithfulness_mean,ig_faithfulness_std,ig_sparsity_mean,ig_sparsity_std,saliency_faithfulness_mean,saliency_faithfulness_std,saliency_sparsity_mean,saliency_sparsity_std
block_4,3,0,0.75,0.2777104136574053,0.30922760683654116,0.2741326530612245,0.05863288303441974,0.2564961696108003,0.30892389481742455,0.22964285714285715,0.04791028227692946
block_4,4,0,0.75,0.2781879693627252,0.30639083903885506,0.27910714285714283,0.061563258126461726,0.26720010978806386,0.32059012470779646,0.23318877551020406,0.049691356586518944
block_4,5,0,0.75,0.27702655662248615,0.31334319099956215,0.27818877551020404,0.0604369792602106,0.2702512560633932,0.3232606472550462,0.23242346938775513,0.04929135868933891
block_4,2,1,0.75,0.15634741409867275,0.2516953839194482,0.25002551020408165,0.04890379312366832,0.14689987698818185,0.2549074769312867,0.2135969387755102,0.039261447249283724
block_4,3,1,0.75,0.1555566360208013,0.24804325043718853,0.24415816326530615,0.04572634879788319,0.1326044994739641,0.2421465672455081,0.21316326530612245,0.03779355460497597
block_4,4,1,0.75,0.18771923840849922,0.2739093016244125,0.24747448979591838,0.048817219966143334,0.16837864174924108,0.27242017808338326,0.21051020408163265,0.03925668155949664
block_4,5,1,0.75,0.18530131393057672,0.26929781221782434,0.24778061224489797,0.04825834154997993,0.16762774847594528,0.27214026490780885,0.21017857142857146,0.039971152329323
block_4,3,2,0.75,0.28442391949855844,0.31299768459236005,0.27589285714285716,0.05953217567542555,0.26751264404686026,0.30748631821530287,0.23107142857142854,0.048765449180090036
block_4,4,2,0.75,0.28020059885481713,0.31330598538215515,0.27380102040816323,0.058411744344290674,0.26122696184898814,0.31245881467099196,0.22928571428571426,0.04736837568895777
block_4,5,2,0.75,0.27947225731938485,0.31226784439060834,0.2735714285714285,0.05831871457606253,0.256624717572513,0.3106162742599262,0.2290561224489796,0.047282452731623396
block_4,4,3,0.75,0.2770774521526619,0.31301556688094234,0.2738775510204081,0.058541911071784226,0.2565694562437784,0.30854526913896435,0.22938775510204082,0.04768658961197922
block_4,5,3,0.75,0.2793240781183249,0.31285826576702763,0.27334183673469387,0.05831620935764113,0.25665048424470116,0.3105668367503877,0.22892857142857143,0.04733448441932846
block_4,5,4,0.75,0.2802920210855791,0.3094719290514056,0.27538265306122445,0.05948734001826758,0.2586781363270711,0.31030658117239024,0.23058673469387755,0.04848468475046462
baseline,0,0,0.74306,0.2798478751364291,0.3131608967650333,0.27334183673469387,0.05831620935764113,0.25645789526718543,0.31051974965574664,0.22892857142857143,0.04733448441932846
