class_id,class_name,method,filtered_sparsity_mean,filtered_sparsity_std,filtered_faithfulness_mean,filtered_faithfulness_std,baseline_sparsity_mean,baseline_sparsity_std,baseline_faithfulness_mean,baseline_faithfulness_std,mean_diff
318,lacewing,ig,0.4913457961309525,0.0405070803811335,0.4389314370113425,0.353385285719544,0.4803249893707484,0.0368544100675768,0.3499345519416965,0.3345698974732256,-0.0889968850696459
318,lacewing,saliency,0.4287108046343537,0.0188129617135089,0.3352720189385582,0.3427143503226628,0.4223646099064626,0.0245069730889493,0.2582727437623544,0.3125974745372324,-0.0769992751762038
319,dragonfly,ig,0.5205059523809524,0.0376929797517833,0.5842937657852599,0.3079069208508908,0.5020352359693877,0.0376353347431692,0.5127030258415676,0.3235637120773433,-0.0715907399436923
319,dragonfly,saliency,0.4354403167517007,0.0160798375687828,0.438736270656118,0.3370126035784991,0.4240357940051019,0.0198883129434726,0.3432766245926905,0.3372954885086433,-0.0954596460634275
320,damselfly,ig,0.5018929368622448,0.030610461724752,0.5888386506762981,0.2832630013807387,0.4821196056547619,0.0280329975201542,0.5130837985311228,0.2794685046811201,-0.0757548521451752
320,damselfly,saliency,0.427836681547619,0.0144882560346189,0.3373694184690839,0.3529057087052259,0.4222189891581633,0.0224331958264973,0.2778423193538765,0.3302936168557168,-0.0595270991152074
321,admiral,ig,0.5429902742346939,0.0506885600955221,0.4146479468877805,0.3377278654075664,0.5264399978741497,0.0452649805420389,0.4268008285394171,0.3300604544488346,0.0121528816516365
321,admiral,saliency,0.4604458971088435,0.0264634233615487,0.3490608800997142,0.3311646704827329,0.4542350924744898,0.030954453009071,0.3221176660410128,0.2988515916308299,-0.0269432140587014
322,ringlet,ig,0.5243549372874149,0.0363432288340959,0.4010536125543876,0.3573388666505601,0.5079094919217687,0.0313733339855964,0.3245700423046946,0.3335683381731341,-0.076483570249693
322,ringlet,saliency,0.4500107621173469,0.0226011046659385,0.4204390463040909,0.3430261585768589,0.4345255367772109,0.0253800215816886,0.2747676351311384,0.3240283060433786,-0.1456714111729525
