class_id,class_name,method,filtered_sparsity_mean,filtered_sparsity_std,filtered_faithfulness_mean,filtered_faithfulness_std,baseline_sparsity_mean,baseline_sparsity_std,baseline_faithfulness_mean,baseline_faithfulness_std,mean_diff
740,power_drill,saliency,0.2471428571428571,0.0422843156336335,0.3547408554301364,0.2835971241950639,0.2461224489795918,0.0423138547921591,0.2620110984751955,0.267159824758483,-0.0927297569549409
741,prayer_rug,ig,0.2319387755102041,0.0509612922826763,0.1216383503697579,0.204961998443429,0.2279591836734694,0.0515325317888589,0.1017379439703654,0.2007612799783953,-0.0199004063993925
741,prayer_rug,saliency,0.1996938775510204,0.0295391860957948,0.1764028381987009,0.2071019559547428,0.2012244897959184,0.0390319127434397,0.120020236200653,0.2258118041444593,-0.0563826019980479
742,printer,ig,0.2672448979591836,0.0425754835957883,0.1941638227039948,0.2570934526547466,0.271938775510204,0.0389663670267959,0.168357310174033,0.2501608571274149,-0.0258065125299617
742,printer,saliency,0.2314285714285714,0.0492314950848358,0.2360543862078339,0.2508482839002751,0.2355102040816326,0.0451910655236778,0.1531936655193567,0.2237956584927002,-0.0828607206884771
743,prison,ig,0.248265306122449,0.0410403292068636,0.1475539617612958,0.2506696523038179,0.2486734693877551,0.0410301795651934,0.1004212757758796,0.2268890508562741,-0.0471326859854161
743,prison,saliency,0.2074489795918367,0.0261672527128013,0.1450088891433552,0.2292295589265439,0.2118367346938775,0.0406019882443715,0.0814358472824096,0.2069014541590451,-0.0635730418609455
744,projectile,ig,0.2917346938775509,0.05599884347589,0.145097197304276,0.2316797316069729,0.2915306122448979,0.0607893550656373,0.1271958064414502,0.2217415625057637,-0.0179013908628257
744,projectile,saliency,0.2270408163265306,0.0335534347907293,0.1912659180661285,0.2326529111491109,0.2389795918367347,0.0396433496147804,0.1416832028212229,0.2336084855689598,-0.0495827152449055
745,projector,ig,0.2545918367346939,0.0399558533977358,0.2931084243906662,0.2738911113246545,0.2636734693877551,0.0384984732790101,0.2441948405187577,0.237557898977614,-0.0489135838719084
745,projector,saliency,0.2151020408163265,0.0278397568531225,0.3072976365406066,0.2855358274545716,0.226734693877551,0.0338301857230463,0.1979783046245574,0.248041188775054,-0.1093193319160491
746,puck,ig,0.2274489795918367,0.0348897531824822,0.1189265185463591,0.200648606494762,0.2574489795918367,0.0412503707403227,0.0733144289976917,0.1159110882349266,-0.0456120895486674
746,puck,saliency,0.2115306122448979,0.0298756620903946,0.103168964125216,0.1781278148189271,0.2462244897959183,0.0463787577580369,0.0615777531778439,0.1504558217015268,-0.041591210947372
747,punching_bag,ig,0.2931632653061224,0.0549526508541827,0.3095398500049486,0.3330000255841788,0.3033673469387755,0.0557894573987891,0.2930769283638801,0.3581198952708379,-0.0164629216410685
747,punching_bag,saliency,0.2447959183673469,0.0365712064953169,0.3106103006689227,0.3093601768155181,0.256734693877551,0.0444837104993699,0.2646936674870085,0.2810833605827711,-0.0459166331819142
748,purse,ig,0.2394897959183673,0.0381584903702781,0.2346746436256216,0.2570402189875489,0.2470408163265306,0.0466058512717163,0.1903519907232839,0.2276818882965635,-0.0443226529023377
